Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1994","1994","1000 Int$","1031","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1995","1995","1000 Int$","1031","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1996","1996","1000 Int$","1021","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1997","1997","1000 Int$","976","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1998","1998","1000 Int$","1244","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","1999","1999","1000 Int$","470","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2000","2000","1000 Int$","602","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2001","2001","1000 Int$","900","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2002","2002","1000 Int$","1289","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2003","2003","1000 Int$","996","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2004","2004","1000 Int$","1350","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2005","2005","1000 Int$","1274","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2006","2006","1000 Int$","2665","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2007","2007","1000 Int$","2538","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2008","2008","1000 Int$","2528","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2009","2009","1000 Int$","2553","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2010","2010","1000 Int$","2634","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2011","2011","1000 Int$","2826","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2012","2012","1000 Int$","2857","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2013","2013","1000 Int$","3292","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2014","2014","1000 Int$","2513","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2015","2015","1000 Int$","5562","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2016","2016","1000 Int$","5353","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2017","2017","1000 Int$","5500","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2018","2018","1000 Int$","5244","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2019","2019","1000 Int$","4629","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2020","2020","1000 Int$","7429","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","152","Gross Production Value (constant 2014-2016 thousand I$)","01371","Almonds, in shell","2021","2021","1000 Int$","15755","E","Estimated value"
