Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","1171","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1992","1992","100 g/ha","2161","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1992","1992","t","253","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","1146","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1993","1993","100 g/ha","1902","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1993","1993","t","218","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","1138","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1994","1994","100 g/ha","1793","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1994","1994","t","204","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","1116","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1995","1995","100 g/ha","1828","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1995","1995","t","204","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","896","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1996","1996","100 g/ha","2254","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1996","1996","t","202","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","845","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1997","1997","100 g/ha","2284","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1997","1997","t","193","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","765","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1998","1998","100 g/ha","3216","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1998","1998","t","246","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","464","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","1999","1999","100 g/ha","2004","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","1999","1999","t","93","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","562","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","2117","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2000","2000","t","119","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","614","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","2899","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2001","2001","t","178","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","806","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","3164","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2002","2002","t","255","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","676","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","2914","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2003","2003","t","197","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","606","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","4406","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2004","2004","t","267","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","622","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","4051","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2005","2005","t","252","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","480","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","10979","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2006","2006","t","527","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","403","A","Official figure",""
